bigram,total_bigrams
voice low,478
half smile,476
dragon sickness,475
thorin’s hand,475
legolas moved,474
chapter 7,473
legolas walked,472
fíli kíli,469
ice cream,465
aragorn son,464
aragorn stood,464
gimli sighed,464
moved forward,464
weeks ago,464
legolas’s eyes,462
told legolas,462
thorin chuckled,461
hard time,460
dance floor,458
legolas called,456
bright red,455
legolas shrugged,455
thranduil pulled,453
estel legolas,450
legolas heard,449
elf gimli,448
arms crossed,446
faramir looked,446
watched legolas,446
prince thranduil,445
smiled gently,443
dark magic,442
bard laughed,440
glorfindel looked,439
fili smiled,437
thranduil finally,437
gandalf looked,436
legolas hands,436
théoden king,434
legolas thranduilion,433
time gimli,433
thranduil’s hand,432
mellon nín,431
prince imrahil,431
silvan elf,431
whispered softly,431
elf maiden,430
silver haired,430
skin changer,430
chuckled softly,428
leaning forward,428
voice broke,428
gimli’s eyes,427
kili didn’t,427
mary sue,426
thranduil found,425
time aragorn,425
faint smile,424
friend gimli,424
silver hair,424
slight smile,424
barad dûr,423
dragon fire,423
kíli looked,423
legolas moaned,422
doesn’t matter,421
legolas agreed,421
elrond replied,420
gentle hand,420
legolas wondered,418
gimli laughed,417
lord king,417
black speech,416
hand gently,415
king théoden,415
pippin looked,415
lyubov moya,414
thorin son,413
glorfindel smiled,412
hîr vuin,412
mirkwood prince,412
pulled legolas,412
thorin's eyes,412
legolas paused,410
aragorn’s eyes,408
bilbo watched,408
eyes darted,408
walked past,408
hir nin,407
2 chapter,406
it’s time,406
bright blue,405
aragorn told,404
true love,404
aran nin,403
legolas returned,402
bare feet,401
frodo nodded,401
parking lot,400
bilbo laughed,399
legolas's eyes,399
deep breaths,398
gimli smiled,397
paying attention,397
thorin frowned,397
aragorn glanced,396
blonde elf,396
elder twin,395
night legolas,395
harry potter,394
stone wall,393
gandalf nodded,392
legolas stepped,392
silence fell,392
lord denethor,391
thranduil’s voice,391
sighed softly,390
legolas breathed,389
legolas mouth,389
time bard,389
chapter 8,388
gimli gimli,387
legolas closed,387
main hall,386
bilbo’s hand,385
heart beat,385
fíli looked,384
begetting day,383
continued chapter,382
gimli’s hand,382
elf’s eyes,381
dim light,380
kili nodded,380
aragorn whispered,379
glorfindel nodded,379
moment thranduil,379
thorin couldn’t,379
aragorn's eyes,378
didn’t matter,378
inhaled deeply,378
legolas chest,378
started walking,378
head bowed,377
aragorn answered,376
breathing hard,376
hazel eyes,376
bard thranduil,375
didn’t answer,375
arms wrapped,374
fourth age,374
lady tauriel,374
day legolas,373
elrohir nodded,373
gimli found,373
son thranduil,373
thranduil couldn’t,373
thranduil leaned,373
gimli shook,372
bilbo blinked,371
thorin glanced,371
aragorn called,370
father thranduil,368
thorin murmured,368
training grounds,368
faramir nodded,367
love legolas,367
